Statistics,BBox_annotation,Lab_to_lab_Prediction,Field_to_lab_Prediction,Lab_to_Sam2_Prediction
MAE,38.541149360849055,46.30965923320755,16151.657160122639,54.56723813443396
NE,0.262292728278057,0.31516151093936995,109.92049518491716,0.371358664757885
MSE,3308.8309618483677,5232.534280584303,274131192.1768258,3589.9185410186597
RMSE,57.522438768261274,72.33625840879733,16556.907687633757,59.9159289422993
