id,Plot,Pedigree,Range,Row,Pass,Rep,GT_Pan_Area_cm2,B_Box_Pan_Area_cm2,Lab_Pan_Area_cm2,Predict_Pan_Area_Pixel²,Mask_Pan_Area_cm2
5037-Tx7000,5037,Tx7000,5,38,10,2,154.8384,170.189946,173.7146918,19402.3217,107.3859997
5041-BTx623,5041,BTx623,5,42,11,2,148.3868,165.3216354,150.9696624,13443.6178,72.06526806
5045-6085-9,5045,6085-9,5,46,12,2,147.612608,136.5006968,141.5456692,12317.74413,96.41536238
5049-96CD635,5049,96CD635,5,50,13,2,121.93524,120.5630305,151.3849759,14142.28928,88.26672255
6029-SN72_PinkKafir,6029,SN72_PinkKafir,6,30,8,2,131.61264,185.6796249,179.3305973,16520.36105,91.81665185
6033-SC328,6033,SC328,6,34,9,2,100.257864,102.5758272,100.6437333,14268.54988,63.69637957
6037-SC348,6037,SC348,6,38,10,2,162.58032,200.4477876,181.7756982,18667.78999,94.36975235
6041-RTx2536,6041,RTx2536,6,42,11,2,196.45122,244.7559156,189.8886607,25645.82815,127.64021
6045-BTx623_DW1,6045,BTx623_DW1,6,46,12,2,150.451312,161.8414597,182.875794,12598.19074,72.66979538
6049-SC326-6,6049,SC326-6,6,50,13,2,205.80604,228.0939202,187.621671,19844.70385,111.8614508
7029-SC964,7029,SC964,7,30,8,2,144.51584,172.514324,139.1673991,16530.80557,74.81779733
7033-M10P0052_BTx623,7033,M10P0052_BTx623,7,34,9,2,110.32236,129.1057933,117.2320728,14171.83884,73.80376086
7037-Tx2882,7037,Tx2882,7,38,10,2,186.064144,231.9551813,201.4781469,16976.98489,116.8210567
7041-BTx642,7041,BTx642,7,42,11,2,122.5804,164.7550708,156.7630131,13741.86363,68.26311627
7045-BTx635_DW2,7045,BTx635_DW2,7,46,12,2,116.386864,126.1637298,136.710071,16662.39269,69.50636663
7049-1790E_SC56_SC33,7049,1790E_SC56_SC33,7,50,13,2,164.5158,215.726391,257.8205497,15206.33926,91.59165355
2053-BTx623,2053,BTx623,2,54,14,3,169.160952,195.0958341,251.258225,18070.18873,126.9458724
2057-Macia,2057,Macia,2,58,15,3,103.2256,106.5994689,121.5754687,14404.03717,68.49324414
2061-SC283,2061,SC283,2,62,16,3,53.54828,103.3934594,97.46891112,16701.23763,41.45224755
2065-SC56,2065,SC56,2,66,17,3,105.290112,131.4966224,157.3994335,15228.59785,81.39503582
2069-6085-9,2069,6085-9_Stg4 NIL,2,70,18,3,134.19328,168.2629568,201.9090166,17616.92336,114.862213
2073-SC328,2073,SC328,2,74,19,3,154.8384,169.4001633,158.8164693,8906.142095,106.2822068
3053-SC964,3053,SC964,3,54,14,3,132.838444,132.7332613,101.1823422,11111.08349,55.64003206
3057-1790E_SC56_SC33,3057,1790E_SC56_SC33,3,58,15,3,82.2579,95.33881832,91.86771381,10467.10332,48.84406671
3061-RTx2536,3061,RTx2536,3,62,16,3,140.96746,229.2384517,227.724928,22530.29077,107.7407443
3065-RTx430,3065,RTx430,3,66,17,3,98.128836,180.1781186,169.7146927,18069.57497,87.41034364
3069-BTx2752,3069,BTx2752,3,70,18,3,164.5158,241.903036,200.7160194,15125.2343,123.7013751
3073-BTx615,3073,BTx615,3,74,19,3,104.51592,161.761468,151.3861777,21088.26507,94.41026724
4053-SC35-14E,4053,SC35-14E,4,54,14,3,76.386944,69.2350192,86.21760188,10871.57924,46.39397401
4057-SC326-6,4057,SC326-6,4,58,15,3,198.322184,347.4560013,398.2996234,16045.22943,162.1615957
4061-KS19,4061,KS19,4,62,16,3,120.64492,269.8960911,255.0234519,16032.06561,102.4468025
4065-M10P0052_BTx623,4065,M10P0052_BTx623,4,66,17,3,134.709408,180.5695626,173.7698355,18775.5664,88.90170448
4069-Tx7000,4069,Tx7000,4,70,18,3,181.160928,184.4303244,188.3012801,18597.71404,114.1032871
4073-BTx642_Tx7000,4073,BTx642_Tx7000,4,74,19,3,193.289936,206.6140033,199.9456557,16745.16352,122.9793099
5053-96CD635,5053,96CD635,5,54,14,3,161.031936,159.6601293,159.1113592,16090.51544,94.95096922
5057-Tx2882,5057,Tx2882,5,58,15,3,135.031988,122.9324362,115.7883382,13629.43925,61.65741108
5061-BTx623,5061,BTx623,5,62,16,3,181.160928,250.8560883,247.2937036,20663.44993,94.24692974
5065-P898012,5065,P898012,5,66,17,3,106.838496,168.0124277,151.4461486,16787.43135,62.23020887
5069-RTx436,5069,RTx436,5,70,18,3,186.064144,178.4669358,184.9006884,18058.9214,102.5160784
5073-B4R_BTx406_Rio,5073,B4R_BTx406_Rio,5,74,19,3,181.160928,287.6978373,310.2711424,27232.19712,100.354126
6053-SC1154-14E,6053,SC1154-14E,6,54,14,3,43.87088,64.76612625,44.27660725,8699.856288,23.38957888
6057-BTx642,6057,BTx642,6,58,15,3,116.45138,128.0162442,148.2788131,13973.51793,81.00432167
6061-R11018,6061,R11018,6,62,16,3,110.32236,137.9869552,391.287803,13110.93921,80.52387121
6065-RTx430BL,6065,RTx430BL,6,66,17,3,205.547976,234.9626645,369.3623926,20629.14133,126.9763431
6069-R9188,6069,R9188,6,70,18,3,146.322288,133.3568422,149.7152515,12576.11464,74.14594029
6073-B10001,6073,B10001,6,74,19,3,152.25776,272.522467,407.8784241,19766.30836,89.19243038
7053-RLBK1,7053,RLBK1,7,54,14,3,183.999632,185.7063984,189.8282027,15088.10498,99.20192926
7057-SC348,7057,SC348,7,58,15,3,234.19308,329.5954535,290.6699994,14443.86043,132.9687182
7061-2219-3,7061,2219-3,7,62,16,3,157.290008,143.5088975,138.6941633,21268.46541,79.01664304
7065-SN72_PINK_KAFIR,7065,SN72_PINK_KAFIR,7,66,17,3,243.22532,421.5990815,418.2123154,21307.71462,132.8103394
7069-2290-19,7069,2290-19,7,70,18,3,231.225344,245.0895254,227.8748137,14740.30994,141.3665471
7073-BTx635_DW2,7073,BTx635_DW2,7,74,19,3,158.967424,161.7940225,158.1246113,17239.53854,100.0375114
