Plot,Range,Row,Pass,Rep,Pedigree,id_image,Camera_Area_mm2,Digital_Area_mm2,SKCS_Kernel_dia_mm,Kernel_weight_mg
5045,5,46,12,2,6085-9_Stg4NIL,5045-6085-9_Stg4NIL,10.723,12.35101607,2.637222568,26.55911414
6045,6,46,12,2,BTx623_DW1,6045-BTx623_DW1,9.373,12.79133281,2.251969655,18.25939125
7045,7,46,12,2,BTx635_DW2,7045-BTx635_DW2,9.196,9.05658797,2.688131285,24.50078278
2049,2,50,13,2,BTx642_Tx7000NILStg1,2049-BTx642_Tx7000,13.447,13.11873755,3.27756505,38.90246277
3049,3,50,13,2,BTx2752,3049-BTx2752,9.845,8.906663523,2.630936337,24.73981533
4049,4,50,13,2,B10001,4049-B10001,10.905,10.95504279,2.737511529,32.13652844
5049,5,50,13,2,96CD635,5049-96CD635,12.875,12.53161128,3.039963616,36.05399789
6049,6,50,13,2,SC326-6,6049-SC326-6,8.444,11.59925124,2.124044681,17.74812822
7049,7,50,13,2,1790E_SC56_SC33,7049-1790E_SC56_SC33,11.121,11.05603952,2.783785486,27.36916752
2053,2,54,14,3,BTx623,2053-BTx623,11.54,12.70549919,2.564648496,28.68384382
3053,3,54,14,3,SC964,3053-SC964,10.65,11.69014846,2.465321875,23.90320301
4053,4,54,14,3,SC35_14E,4053-SC35-14E,11.296,13.10458009,2.547426152,27.30940933
5053,5,54,14,3,96CD635,5053-96CD635,12.319,11.97478181,3.161553038,35.85480478
6053,6,54,14,3,SC1154-14E,6053-SC1154-14E,12.064,13.34798284,2.844798589,28.62408562
7053,7,54,14,3,RLBK1,7053-RLBK1,10.961,12.79735863,2.693147254,25.57642708
2057,2,58,15,3,Macia,2057-Macia,10.521,14.28396406,2.536220047,27.62811852
3057,3,58,15,3,1790E_SC56_SC33,3057-1790E_SC56_SC33,11.883,11.43868945,2.61943897,30.11803579
4057,4,58,15,3,SC326-6,4057-SC326-6,9.599,9.387144501,2.597951865,22.88731651
5057,5,58,15,3,Tx2882,5057-Tx2882,10.957,16.86908945,2.852344394,30.192734
6057,6,58,15,3,BTx642,6057-BTx642,11.356,10.18983949,3.004247904,31.54558775
7057,7,58,15,3,SC348,7057-SC348,13.822,18.90194374,3.470536431,42.66721725
2061,2,62,16,3,SC283,2061-SC283,11.798,8.634658089,2.902296901,31.97053318
3061,3,62,16,3,RTx2536,3061-RTx2536,11.161,13.30298385,2.597530312,28.15930155
4061,4,62,16,3,KS19,4061-KS19,10.417,13.79226544,2.716809511,26.36656041
5061,5,62,16,3,BTx623_DW1,5061-BTx623,10.559,11.85942195,2.622746097,26.62551244
6061,6,62,16,3,R11018,6061-R11018,12.862,11.38281478,2.978175688,35.01819267
7061,7,62,16,3,2219-3_Stg2NIL,7061-2219-3,11.228,10.86132275,2.820719051,29.40093975
2065,2,66,17,3,SC56,2065-SC56,12.622,14.00711812,3.092948649,36.71797604
3065,3,66,17,3,RTx430,3065-RTx430,13.485,13.34959444,3.018122458,34.30109615
4065,4,66,17,3,M10P0052_BTx623,4065-M10P0052_BTx623,10.455,15.01332219,2.685562849,27.18989372
5065,5,66,17,3,P898012,5065-P898012,9.191,11.99362883,2.53755331,20.24302483
6065,6,66,17,3,RTx430BL,6065-RTx430BL,13.003,11.43868945,3.112317774,35.85480436
7065,7,66,17,3,SN72_PINK_KAFIR,7065-SN72_PINK_KAFIR,9.038,9.194069502,2.654018432,23.08153021
2069,2,70,18,3,6085-9_Stg4NIL,2069-6085-9_Stg4NIL,11.99,11.54658214,2.80478051,33.53088231
3069,3,70,18,3,BTx2752,3069-BTx2752,10.59,11.7307423,2.762752008,26.23376522
4069,4,70,18,3,Tx7000,4069-Tx7000,12.128,10.84874257,2.936170499,32.40211974
5069,5,70,18,3,RTx436,5069-RTx436,10.205,10.32185679,2.584804773,26.05449123
6069,6,70,18,3,R9188,6069-R9188,9.001,9.915558605,2.239385092,19.42135239
7069,7,70,18,3,2290-19_Stg3NIL,7069-2290-19,11.696,12.53769485,3.012687492,31.97053432
2073,2,74,19,3,SC328,2073-SC328,11.546,8.100931476,2.74888187,30.54298147
3073,3,74,19,3,BTx615,3073-BTx615,12.021,9.766540934,3.107643867,31.1339222
4073,4,74,19,3,BTx642_Tx7000NILStg1,4073-BTx642_Tx7000,12.775,13.17118589,2.949939132,35.0580314
5073,5,74,19,3,B4R_BTx406_Rio,5073-B4R_BTx406_Rio,9.317,11.83132842,2.723855575,24.03599866
6073,6,74,19,3,B10001,6073-B10001,9.89,14.0889152,2.558394122,23.60441303
7073,7,74,19,3,BTx635_DW2,7073-BTx635_DW2,9.791,9.192198044,2.915840316,26.2935236
