image_name,dia_pix,dia_mm,area_mm2,avg_dia_mm,avg_area_mm2,height_pix,height_mm,width_pix,width_mm,area_rec_mm2,avg_area_rec
0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
2005_2005_2,50.44799302251776,3.1569457460899724,7.827518776781781,0.0,0.0,48,3.0037546933667083,45,2.816020025031289,8.45863336680237,0.0
2005_2005_2,52.15361924162119,3.2636808036058316,8.365756806619427,0.0,0.0,50,3.1289111389236544,45,2.816020025031289,8.811076423752468,0.0
2005_2005_2,53.85164807134504,3.3699404299965607,8.919373065881006,0.0,0.0,52,3.254067584480601,45,2.816020025031289,9.163519480702568,0.0
2005_2005_2,53.600373133029585,3.3542160909280088,8.836330626991765,0.0,0.0,52,3.254067584480601,48,3.0037546933667083,9.774420779416072,0.0
2005_2005_2,46.87216658103186,2.9331768824175133,6.757194008876058,0.0,0.0,43,2.690863579474343,41,2.5657071339173965,6.903967882255823,0.0
2005_2005_2,51.78802950489621,3.2408028476155324,8.248882262997537,0.0,0.0,51,3.1914893617021276,47,2.941176470588235,9.386733416770962,0.0
2005_2005_2,48.093658625644196,3.009615683707396,7.113968931511299,0.0,0.0,48,3.0037546933667083,42,2.6282853566958697,7.894724475682212,0.0
2005_2005_2,49.658836071740545,3.107561706617055,7.584542751883641,0.0,0.0,47,2.941176470588235,40,2.5031289111389237,7.362143856290952,0.0
2005_2005_2,51.86520991955976,3.245632660798483,8.27348743007583,0.0,0.0,50,3.1289111389236544,45,2.816020025031289,8.811076423752468,0.0
2005_2005_2,52.630789467763066,3.2935412683205922,8.519539100858752,0.0,0.0,51,3.1914893617021276,48,3.0037546933667083,9.586451149042686,0.0
2005_2005_2,,,,3.1975114120096944,8.04465937624771,,,,,,8.615274725446858
2005_2005_2,61.84658438426491,3.8702493356861645,11.76434550930857,0.0,0.0,60,3.7546933667083855,53,3.3166458072590737,12.452988012236823,0.0
2005_2005_2,64.38167441127949,4.028890764160169,12.748552192440268,0.0,0.0,64,4.005006257822278,55,3.44180225281602,13.784439560714976,0.0
2005_2005_2,59.81638571495272,3.7432031110733868,11.004660975766289,0.0,0.0,57,3.566958698372966,55,3.44180225281602,12.276766483761774,0.0
2005_2005_2,55.60575509783138,3.4797093302773074,9.509897075760023,0.0,0.0,53,3.3166458072590737,48,3.0037546933667083,9.962390409789457,0.0
2005_2005_2,64.4437739428721,4.032776842482609,12.77315735951856,0.0,0.0,58,3.629536921151439,55,3.44180225281602,12.492148351897944,0.0
2005_2005_2,61.61168720299745,3.855549887546774,11.675151778649758,0.0,0.0,60,3.7546933667083855,52,3.254067584480601,12.218025974270091,0.0
2005_2005_2,,,,3.8350632118710686,11.579294148573913,,,,,,12.197793132111846
