image_name,dia_pix,dia_mm,area_mm2,avg_dia_mm,avg_area_mm2,height_pix,height_mm,width_pix,width_mm,area_rec_mm2,avg_area_rec
2005_2005_1,50.44799302251776,4.055304905347087,12.916263827442505,,,49,3.9389067524115755,45,3.617363344051447,14.248456901810362,
2005_2005_1,49.09175083453431,3.9462822214255877,12.231118202018244,,,47,3.7781350482315115,44,3.536977491961415,13.36317862718541,
2005_2005_1,64.63745044476924,5.195936530930004,21.203988318685568,,,54,4.340836012861737,37,2.97427652733119,12.910846662048575,
2005_2005_1,53.600373133029585,4.30871166664225,14.580913939584404,,,49,3.9389067524115755,45,3.617363344051447,14.248456901810362,
2005_2005_1,44.04543109109048,3.540629508930103,9.845796394985639,,,44,3.536977491961415,38,3.054662379421222,10.804272081554162,
2005_2005_1,51.66236541235796,4.152923264659,13.545582772276635,,,50,4.019292604501608,45,3.617363344051447,14.539241736541186,
2005_2005_1,52.80151512977634,4.2444947853517965,14.149525953206169,,,51,4.09967845659164,49,3.9389067524115755,16.148251155385076,
2005_2005_1,53.08483775994799,4.267269916394533,14.301780536633782,,,53,4.260450160771704,46,3.6977491961414795,15.754076157194405,
2005_2005_1,53.823786563191554,4.326670945594176,14.702717606326491,,,52,4.180064308681672,46,3.6977491961414795,15.456829437247341,
2005_2005_1,,,,4.226469305030504,14.164187505684382,,,,,,14.163734406752987
2005_2005_2,62.81719509815764,3.9309884291713164,12.13649866136774,,,61,3.8172715894868583,54,3.379224030037547,12.899415884373614,
2005_2005_2,65.5133574166368,4.09970947538403,13.200672137503886,,,62,3.8798498122653315,55,3.44180225281602,13.35367582444263,
2005_2005_2,60.63827174318213,3.794635278046441,11.309149918360157,,,59,3.6921151439299122,57,3.566958698372966,13.169622228035356,
2005_2005_2,63.00793600809346,3.942924656326249,12.21031416260262,,,61,3.8172715894868583,61,3.8172715894868583,14.571562387903526,
2005_2005_2,61.587336360651285,3.854026055109592,11.665924840995396,,,55,3.44180225281602,49,3.0663329161451816,10.553711538672403,
2005_2005_2,70.61161377563892,4.418749297599431,15.335170381545755,,,69,4.317897371714643,55,3.44180225281602,14.861348901395832,
2005_2005_2,66.03786792439622,4.132532410788249,13.412891703554157,,,65,4.06758448060075,53,3.3166458072590737,13.490737013256556,
2005_2005_2,64.5600495662759,4.040053164347678,12.819292047790356,,,62,3.8798498122653315,50,3.1289111389236544,12.139705294947845,
2005_2005_2,67.23094525588644,4.20719306983019,13.90191939923522,,,65,4.06758448060075,59,3.6921151439299122,15.017990260040317,
2005_2005_2,66.49060083951716,4.160863632009835,13.597430456641353,,,65,4.06758448060075,49,3.0663329161451816,12.472568182067382,
2005_2005_2,63.41135544995076,3.9681699280319624,12.367172102726732,,,59,3.6921151439299122,58,3.629536921151439,13.400668232035976,
2005_2005_2,68.00735254367721,4.255779258052391,14.22486221713781,,,66,4.130162703379224,53,3.3166458072590737,13.698286813460504,
2005_2005_2,,,,4.067135387891447,13.015108169121765,,,,,,13.302441046719329
2005_2005_3,,,,,,,,,,,
