id,image_name,rep,pixels_per_inch
2005-SC964,1. P1-WOF-Fr.jpg,1,245
2009-RTx430BL,1. P1-WOF-Fr.jpg,1,250
2013-Tx7000,1. P1-WOF-Fr.jpg,1,217
