Plot,Range,Row,Pass,Rep,Pedigree,Length_mm,Width_mm,Area_mm2,Number of Kernels,mean_kernel_dia_mm,mean_kernel_weight_mg,Unnamed: 0,id,Rep_x,Image_id,Rep_y,area_cir_mm2,area_ellip_mm2
7029,7,30,8,2,SC964,4.192727273,3.362727273,10.44818182,11.0,2.410843091,21.62153339,65.0,7029-SC964,2.0,2005_2005_2,2.0,8.727145198,7.038632067
2033,2,34,9,2,R11018,4.287,4.131,13.148,9.0,2.99,39.17,37.0,2033-R11018,2.0,4013_4013_2,2.0,12.48805164,10.71040306
3033,3,34,9,2,P898012,3.709,3.079,8.845,9.0,2.321842114,19.58734671,43.0,3033-P898012,2.0,6017_6017_2,2.0,10.06470078,8.25262993
4033,4,34,9,2,SC56,4.534,3.841,12.896,9.0,3.182231744,39.24109226,49.0,4033-SC56,2.0,3013_3013_2,2.0,13.95954571,11.57963057
5033,5,34,9,2,SC1154-14E,4.326,3.656,11.893,10.0,2.611476469,28.08626375,54.0,5033-SC1154-14E,2.0,6013_6013_2,2.0,11.40309976,9.771417857
6033,6,34,9,2,SC328,4.293,3.399,10.942,9.0,2.733223544,27.82067214,60.0,6033-SC328,2.0,7005_7005_2,2.0,15.97859167,12.77918835
7033,7,34,9,2,M10P0052_BTx623,3.988,3.685,11.11,10.0,2.758687997,25.27763748,66.0,7033-M10P0052_BTx623,2.0,3009_3009_2,2.0,10.36529771,8.551903812
2037,2,38,10,2,2219-3_Stg2 NIL,3.952,3.76,11.027,8.0,3.222471982,37.87163734,,,,,,,
3037,3,38,10,2,RTx430,4.429,4.108,13.618,10.0,3.218287885,40.57568693,44.0,3037-RTx430,2.0,2025_2025_2,2.0,15.02591231,12.45569957
4037,4,38,10,2,Macia,4.056,3.653,11.096,10.0,2.871728182,28.38505363,50.0,4037-Macia,2.0,7021_7021_2,2.0,12.19791952,10.43839738
5037,5,38,10,2,Tx7000,4.305,3.919,12.511,10.0,3.058188844,30.17779427,55.0,5037-Tx7000,2.0,2013_2013_2,2.0,14.26182288,11.97049078
6037,6,38,10,2,SC348,4.587,3.89,13.41,10.0,3.169850707,35.73528843,61.0,6037-SC348,2.0,3021_3021_2,2.0,17.37374184,16.45433416
7037,7,38,10,2,Tx2882,3.8,4.041,11.791,10.0,2.945486474,32.68762989,67.0,7037-Tx2882,2.0,7013_7013_2,2.0,10.63699829,9.422618866
2041,2,42,11,2,RTx430_BL,4.555,4.301,14.552,10.0,3.304040122,43.38431282,,,,,,,
3041,3,42,11,2,B4R (BTx406/Rio),4.003,3.448,10.589,10.0,2.858076262,29.58021393,,,,,,,
4041,4,42,11,2,R9188,3.836,3.003,8.694,9.0,2.17595613,19.78654035,,,,,,,
5041,5,42,11,2,BTx623,3.956,3.66,11.139,7.0,2.993816001,26.29352352,56.0,5041-BTx623,2.0,6005_6005_2,2.0,13.79968232,11.76701938
6041,6,42,11,2,RTx2536,3.928,3.787,11.317,10.0,2.732884288,30.05827789,62.0,6041-RTx2536,2.0,5013_5013_2,2.0,12.43520395,11.1304283
7041,7,42,11,2,B.Tx642,4.054,3.647,10.971,9.0,2.48091348,26.69191011,,,,,,,
2045,2,46,12,2,SC35-14E,4.292,3.863,12.13,10.0,3.139441204,34.00230694,,,,,,,
3045,3,46,12,2,SC283,3.35,2.757,6.897,10.0,2.270196748,16.37369432,46.0,3045-SC283,2.0,7025_7025_2,2.0,10.5636323,7.875014944
4045,4,46,12,2,BTx615,4.213,3.406,10.646,9.0,3.000566112,30.01179949,51.0,4045-BTx615,2.0,4009_4009_2,2.0,13.81379314,11.62105563
5045,5,46,12,2,6085-9_Stg4 NIL,3.982,3.687,10.723,9.0,2.637222568,26.55911414,,,,,,,
6045,6,46,12,2,BTx623_DW1,4.069,3.186,9.373,9.0,2.251969655,18.25939125,63.0,6045-BTx623_DW1,2.0,5017_5017_2,2.0,15.21423114,12.79133281
7045,7,46,12,2,BTx635_DW2,3.845,3.137,9.196,10.0,2.688131285,24.50078278,69.0,7045-BTx635_DW2,2.0,3005_3005_2,2.0,10.896026,9.05658797
2049,2,50,13,2,BTx642/Tx7000 NILStg1,4.495,4.053,13.447,10.0,3.27756505,38.90246277,,,,,,,
3049,3,50,13,2,BTx2752,3.981,3.303,9.845,10.0,2.630936337,24.73981533,47.0,3049-BTx2752,2.0,4017_4017_2,2.0,10.43196201,8.906663523
4049,4,50,13,2,B10001,4.221,3.493,10.905,9.0,2.737511529,32.13652844,52.0,4049-B10001,2.0,6009_6009_2,2.0,12.79132467,10.95504279
5049,5,50,13,2,96CD635,3.979,4.143,12.875,9.0,3.039963616,36.05399789,58.0,5049-96CD635,2.0,5021_5021_2,2.0,14.71251172,12.53161128
6049,6,50,13,2,SC326-6,3.653,3.156,8.444,10.0,2.124044681,17.74812822,64.0,6049-SC326-6,2.0,2021_2021_2,2.0,13.34861187,11.59925124
7049,7,50,13,2,1790E_(SC56/SC33),4.005,3.621,11.121,10.0,2.783785486,27.36916752,,,,,,,
2053,2,54,14,3,BTx623,4.254,3.734,11.54,9.0,2.564648496,28.68384382,71.0,2053-BTx623,3.0,6005_6005_3,3.0,15.10695534,12.70549919
3053,3,54,14,3,SC964,4.147,3.459,10.65,10.0,2.465321875,23.90320301,77.0,3053-SC964,3.0,2005_2005_3,3.0,14.45938704,11.69014846
4053,4,54,14,3,SC35-14E,4.316,3.61,11.296,10.0,2.547426152,27.30940933,,,,,,,
5053,5,54,14,3,96CD635,3.896,4.03,12.319,9.0,3.161553038,35.85480478,89.0,5053-96CD635,3.0,5021_5021_3,3.0,13.08616251,11.97478181
6053,6,54,14,3,SC1154-14E,4.352,3.7,12.064,10.0,2.844798589,28.62408562,95.0,6053-SC1154-14E,3.0,6013_6013_3,3.0,16.09240484,13.34798284
7053,7,54,14,3,RLBK1,4.01,3.77,10.961,10.0,2.693147254,25.57642708,101.0,7053-RLBK1,3.0,2017_2017_3,3.0,14.85775326,12.79735863
2057,2,58,15,3,Macia,3.979,3.58,10.521,9.0,2.536220047,27.62811852,72.0,2057-Macia,3.0,7021_7021_3,3.0,17.22494241,14.28396406
3057,3,58,15,3,1790E_(SC56/SC33),4.376,3.745,11.883,10.0,2.61943897,30.11803579,,,,,,,
4057,4,58,15,3,SC326-6,3.718,3.465,9.599,10.0,2.597951865,22.88731651,84.0,4057-SC326-6,3.0,2021_2021_3,3.0,10.8004762,9.387144501
