,id,Plot,Pedigree,Rep_x,Image_id,Rep_y,area_cir_mm2,area_ellip_mm2
68,7041-BTx642,7041,BTx642,2,7017_7017_2,2,11.40545791,10.91930735
69,7045-BTx635_DW2,7045,BTx635_DW2,2,3005_3005_2,2,10.896026,9.05658797
70,7049-1790E_SC56_SC33,7049,1790E_SC56_SC33,2,7009_7009_2,2,13.60973653,11.05603952
71,2053-BTx623,2053,BTx623,3,6005_6005_3,3,15.10695534,12.70549919
72,2057-Macia,2057,Macia,3,7021_7021_3,3,17.22494241,14.28396406
73,2061-SC283,2061,SC283,3,7025_7025_3,3,11.62156674,8.634658089
74,2065-SC56,2065,SC56,3,3013_3013_3,3,16.48354395,14.00711812
75,2069-6085-9_Stg4NIL,2069,6085-9_Stg4NIL,3,4021_4021_3,3,13.75648926,11.54658214
76,2073-SC328,2073,SC328,3,7005_7005_3,3,10.19975457,8.100931476
77,3053-SC964,3053,SC964,3,2005_2005_3,3,14.45938704,11.69014846
78,3057-1790E_SC56_SC33,3057,1790E_SC56_SC33,3,7009_7009_3,3,14.24355111,11.43868945
79,3061-RTx2536,3061,RTx2536,3,5013_5013_3,3,14.65866436,13.30298385
80,3065-RTx430,3065,RTx430,3,2025_2025_3,3,15.4918604,13.34959444
81,3069-BTx2752,3069,BTx2752,3,4017_4017_3,3,14.33750149,11.7307423
82,3073-BTx615,3073,BTx615,3,4009_4009_3,3,12.66470558,9.766540934
83,4053-SC35-14E,4053,SC35_14E,3,5005_5005_3,3,15.01490056,13.10458009
84,4057-SC326-6,4057,SC326-6,3,2021_2021_3,3,10.8004762,9.387144501
85,4061-KS19,4061,KS19,3,3017_3017_3,3,15.44398437,13.79226544
86,4065-M10P0052_BTx623,4065,M10P0052_BTx623,3,3009_3009_3,3,17.26832749,15.01332219
87,4069-Tx7000,4069,Tx7000,3,2013_2013_3,3,13.00172618,10.84874257
88,4073-BTx642_Tx7000,4073,BTx642_Tx7000NILStg1,3,5025_5025_3,3,15.65189677,13.17118589
89,5053-96CD635,5053,96CD635,3,5021_5021_3,3,13.08616251,11.97478181
90,5057-Tx2882,5057,Tx2882,3,7013_7013_3,3,16.89865782,16.86908945
91,5061-BTx623,5061,BTx623_DW1,3,5017_5017_3,3,13.98257217,11.85942195
92,5065-P898012,5065,P898012,3,6017_6017_3,3,14.7427095,11.99362883
93,5069-RTx436,5069,RTx436,3,4025_4025_3,3,11.59399028,10.32185679
94,5073-B4R_BTx406_Rio,5073,B4R_BTx406_Rio,3,6021_6021_3,3,14.49121472,11.83132842
95,6053-SC1154-14E,6053,SC1154-14E,3,6013_6013_3,3,16.09240484,13.34798284
96,6057-BTx642,6057,BTx642,3,7017_7017_3,3,11.46025832,10.18983949
97,6061-R11018,6061,R11018,3,4013_4013_3,3,13.40493555,11.38281478
98,6065-RTx430BL,6065,RTx430BL,3,7009_7009_3,3,14.24355111,11.43868945
99,6069-R9188,6069,R9188,3,5009_5009_3,3,12.59216417,9.915558605
100,6073-B10001,6073,B10001,3,6009_6009_3,3,17.25213148,14.0889152
101,7053-RLBK1,7053,RLBK1,3,2017_2017_3,3,14.85775326,12.79735863
102,7057-SC348,7057,SC348,3,3021_3021_3,3,22.20674249,18.90194374
103,7061-2219-3,7061,2219-3_Stg2NIL,3,3025_3025_3,3,12.6003551,10.86132275
104,7065-SN72_PINK_KAFIR,7065,SN72_PINK_KAFIR,3,4005_4005_3,3,10.54537772,9.194069502
105,7069-2290-19,7069,2290-19_Stg3NIL,3,6025_6025_3,3,14.12069125,12.53769485
106,7073-BTx635_DW2,7073,BTx635_DW2,3,3005_3005_3,3,11.20460759,9.192198044
