id,plot_x,img_name_x,Mach_Count_x,Pan_Count,Reg_Count,plot_y,img_name_y,Mach_Count_y,Spr_Count_Adj
2045_P1,2045-SC35-14E,1. P1-WOF-Fr.jpg,431,485,1094,2045-SC35-14E,1. P1-WOF-Fr.jpg,431.0,447.0
2045_P2,2045-SC35-14E,5. P2-WOF-Fr.jpg,465,408,1064,2045-SC35-14E,5. P2-WOF-Fr.jpg,465.0,750.0
2045_P3,2045-SC35-14E,9. P3-WOF-Fr.jpg,189,339,1199,2045-SC35-14E,9. P3-WOF-Fr.jpg,189.0,254.0
2045_P4,2045-SC35-14E,13. P4-WOF-Fr.jpg,338,650,1408,2045-SC35-14E,13. P4-WOF-Fr.jpg,338.0,282.0
2049_P1,2049-BTx642_Tx7000,1. P1-WOF-Fr.jpg,1127,1477,1837,2049-BTx642_Tx7000,1. P1-WOF-Fr.jpg,1127.0,1572.0
2049_P2,2049-BTx642_Tx7000,5. P2-WOF-Fr.jpg,1316,1437,1826,2049-BTx642_Tx7000,5. P2-WOF-Fr.jpg,1316.0,1392.0
2049_P3,2049-BTx642_Tx7000,9. P3-WOF-Fr.jpg,2369,2016,2286,2049-BTx642_Tx7000,9. P3-WOF-Fr.jpg,2369.0,2385.0
2049_P4,2049-BTx642_Tx7000,13. P4-WOF-Fr.jpg,1784,1540,2252,2049-BTx642_Tx7000,13. P4-WOF-Fr.jpg,1784.0,1561.0
2053_P1,2053-BTx623,1. P1-WOF-Fr.jpg,1415,1343,2129,2053-BTx623,1. P1-WOF-Fr.jpg,1415.0,1415.0
2053_P2,2053-BTx623,5. P2-WOF-Fr.jpg,1185,972,1703,2053-BTx623,5. P2-WOF-Fr.jpg,1185.0,1346.0
2053_P3,2053-BTx623,9. P3-WOF-Fr.jpg,1698,1300,2077,2053-BTx623,9. P3-WOF-Fr.jpg,1698.0,1541.0
2053_P4,2053-BTx623,13. P4-WOF-Fr.jpg,1525,1095,1900,2053-BTx623,13. P4-WOF-Fr.jpg,1525.0,1701.0
2057_P1,2057-Macia,1. P1-WOF-Fr.jpg,1813,1014,1775,2057-Macia,1. P1-WOF-Fr.jpg,1813.0,1756.0
2057_P2,2057-Macia,5. P2-WOF-Fr.jpg,1606,1349,1971,2057-Macia,5. P2-WOF-Fr.jpg,1606.0,1636.0
2057_P3,2057-Macia,9. P3-WOF-Fr.jpg,2080,1449,2080,2057-Macia,9. P3-WOF-Fr.jpg,2080.0,1992.0
2057_P4,2057-Macia,13. P4-WOF-Fr.jpg,1178,1399,2083,2057-Macia,13. P4-WOF-Fr.jpg,1178.0,1697.0
2061_P1,2061-SC283,1. P1-WOF-Fr.jpg,255,196,1113,2061-SC283,1. P1-WOF-Fr.jpg,255.0,496.0
2061_P2,2061-SC283,5. P2-WOF-Fr.jpg,416,580,1503,2061-SC283,5. P2-WOF-Fr.jpg,416.0,424.0
2061_P3,2061-SC283,9. P3-WOF-Fr.jpg,932,660,1489,2061-SC283,9. P3-WOF-Fr.jpg,932.0,1268.0
2065_P1,2065-SC56,1. P1-WOF-Fr.jpg,1280,1118,1365,2065-SC56,1. P1-WOF-Fr.jpg,1280.0,1156.0
2065_P2,2065-SC56,5. P2-WOF-Fr.jpg,740,621,1019,2065-SC56,5. P2-WOF-Fr.jpg,740.0,971.0
2065_P3,2065-SC56,9. P3-WOF-Fr.jpg,1336,1138,1391,2065-SC56,9. P3-WOF-Fr.jpg,1336.0,1054.0
2065_P4,2065-SC56,13. P4-WOF-Fr.jpg,1124,999,1290,2065-SC56,13. P4-WOF-Fr.jpg,1124.0,996.0
2069_P1,2069-6085-9,1. P1-WOF-Fr.jpg,2057,1640,1234,2069-6085-9,1. P1-WOF-Fr.jpg,2057.0,2136.0
2069_P2,2069-6085-9,5. P2-WOF-Fr.jpg,1611,1538,1703,2069-6085-9,5. P2-WOF-Fr.jpg,1611.0,1852.0
2069_P3,2069-6085-9,9. P3-WOF-Fr.jpg,2334,1748,1681,2069-6085-9,9. P3-WOF-Fr.jpg,2334.0,2376.0
2069_P4,2069-6085-9,13. P4-WOF-Fr.jpg,1274,2367,2240,2069-6085-9,13. P4-WOF-Fr.jpg,1274.0,1378.0
2073_P1,2073-SC328,1. P1-WOF-Fr.jpg,1757,1333,1888,2073-SC328,1. P1-WOF-Fr.jpg,1757.0,1768.0
2073_P2,2073-SC328,5. P2-WOF-Fr.jpg,1864,1292,1976,2073-SC328,5. P2-WOF-Fr.jpg,1864.0,1621.0
2073_P3,2073-SC328,9. P3-WOF-Fr.jpg,1832,1486,2314,2073-SC328,9. P3-WOF-Fr.jpg,1832.0,1748.0
2073_P4,2073-SC328,13. P4-WOF-Fr.jpg,2084,1527,2337,2073-SC328,13. P4-WOF-Fr.jpg,2084.0,2025.0
3005_P1,3005-BTx635_DW2,1. P1-WOF-Fr.jpg,1905,1346,2187,3005-BTx635_DW2,1. P1-WOF-Fr.jpg,1905.0,2007.0
3005_P2,3005-BTx635_DW2,5. P2-WOF-Fr.jpg,1710,1378,1637,3005-BTx635_DW2,5. P2-WOF-Fr.jpg,1710.0,1809.0
3005_P3,3005-BTx635_DW2,9. P3-WOF-Fr.jpg,1278,988,1875,3005-BTx635_DW2,9. P3-WOF-Fr.jpg,1278.0,1370.0
3005_P4,3005-BTx635_DW2,13. P4-WOF-Fr.jpg,1590,970,1738,3005-BTx635_DW2,13. P4-WOF-Fr.jpg,1590.0,1686.0
3009_P1,3009-M10P0052_BTx623,1. P1-WOF-Fr.jpg,2255,1407,1834,3009-M10P0052_BTx623,1. P1-WOF-Fr.jpg,2255.0,2373.0
3009_P2,3009-M10P0052_BTx623,5. P2-WOF-Fr.jpg,1282,1055,1481,3009-M10P0052_BTx623,5. P2-WOF-Fr.jpg,1282.0,1465.0
3009_P3,3009-M10P0052_BTx623,9. P3-WOF-Fr.jpg,2460,1323,1924,3009-M10P0052_BTx623,9. P3-WOF-Fr.jpg,2460.0,2626.0
3009_P4,3009-M10P0052_BTx623,13. P4-WOF-Fr.jpg,2241,1052,1662,3009-M10P0052_BTx623,13. P4-WOF-Fr.jpg,2241.0,2322.0
3013_P1,3013-SC56,1. P1-WOF-Fr.jpg,1306,1049,1683,3013-SC56,1. P1-WOF-Fr.jpg,1306.0,1408.0
3013_P2,3013-SC56,5. P2-WOF-Fr.jpg,1162,794,1781,3013-SC56,5. P2-WOF-Fr.jpg,1162.0,1264.0
3013_P3,3013-SC56,9. P3-WOF-Fr.jpg,1316,960,1554,3013-SC56,9. P3-WOF-Fr.jpg,1316.0,1332.0
3013_P4,3013-SC56,13. P4-WOF-Fr.jpg,1509,1204,1673,3013-SC56,13. P4-WOF-Fr.jpg,1509.0,1481.0
3017_P1,3017-KS19,1. P1-WOF-Fr.jpg,2108,815,1361,3017-KS19,1. P1-WOF-Fr.jpg,2108.0,2040.0
3017_P2,3017-KS19,5. P2-WOF-Fr.jpg,2053,1079,1590,3017-KS19,5. P2-WOF-Fr.jpg,2053.0,1907.0
3017_P3,3017-KS19,9. P3-WOF-Fr.jpg,2504,685,1522,3017-KS19,9. P3-WOF-Fr.jpg,2504.0,2306.0
3017_P4,3017-KS19,13. P4-WOF-Fr.jpg,1678,1294,1673,3017-KS19,13. P4-WOF-Fr.jpg,1678.0,1752.0
3021_P1,3021-SC328,1. P1-WOF-Fr.jpg,1698,829,1122,3021-SC328,1. P1-WOF-Fr.jpg,1698.0,1870.0
3021_P2,3021-SC328,5. P2-WOF-Fr.jpg,1681,1211,1283,3021-SC328,5. P2-WOF-Fr.jpg,1681.0,1909.0
3021_P3,3021-SC328,9. P3-WOF-Fr.jpg,2097,1380,1310,3021-SC328,9. P3-WOF-Fr.jpg,2097.0,2319.0
3021_P4,3021-SC328,13. P4-WOF-Fr.jpg,1650,991,1358,3021-SC328,13. P4-WOF-Fr.jpg,1650.0,1772.0
3025_P1,3025-2219-3_Stg2NIL,1. P1-WOF-Fr.jpg,1942,1260,2020,3025-2219-3_Stg2NIL,1. P1-WOF-Fr.jpg,1942.0,2131.0
3025_P2,3025-2219-3_Stg2NIL,5. P2-WOF-Fr.jpg,2270,1852,2692,3025-2219-3_Stg2NIL,5. P2-WOF-Fr.jpg,2270.0,2473.0
3025_P3,3025-2219-3_Stg2NIL,9. P3-WOF-Fr.jpg,1892,1232,2112,3025-2219-3_Stg2NIL,9. P3-WOF-Fr.jpg,1892.0,2056.0
3025_P4,3025-2219-3_Stg2NIL,13. P4-WOF-Fr.jpg,1757,1060,1960,3025-2219-3_Stg2NIL,13. P4-WOF-Fr.jpg,1757.0,1975.0
3029_P1,3029-KS19,1. P1-WOF-Fr.jpg,1013,1107,1544,3029-KS19,1. P1-WOF-Fr.jpg,1013.0,1388.0
3029_P2,3029-KS19,5. P2-WOF-Fr.jpg,1118,1251,1664,3029-KS19,5. P2-WOF-Fr.jpg,1118.0,1334.0
3029_P3,3029-KS19,9. P3-WOF-Fr.jpg,1001,1032,1603,3029-KS19,9. P3-WOF-Fr.jpg,1001.0,798.0
3029_P4,3029-KS19,13. P4-WOF-Fr.jpg,758,1467,1671,3029-KS19,13. P4-WOF-Fr.jpg,758.0,1011.0
3033_P2,3033-P898012,5. P2-WOF-Fr.jpg,1001,887,1662,3033-P898012,5. P2-WOF-Fr.jpg,1001.0,1081.0
3033_P4,3033-P898012,13. P4-WOF-Fr.jpg,1064,966,1662,3033-P898012,13. P4-WOF-Fr.jpg,1064.0,1077.0
3037_P1,3037-RTx430,1. P1-WOF-Fr.jpg,1015,930,1805,3037-RTx430,1. P1-WOF-Fr.jpg,1015.0,1298.0
3037_P2,3037-RTx430,5. P2-WOF-Fr.jpg,1392,1397,1527,3037-RTx430,5. P2-WOF-Fr.jpg,1392.0,1718.0
3037_P3,3037-RTx430,9. P3-WOF-Fr.jpg,852,917,1152,3037-RTx430,9. P3-WOF-Fr.jpg,852.0,1219.0
3037_P4,3037-RTx430,13. P4-WOF-Fr.jpg,1669,944,1273,3037-RTx430,13. P4-WOF-Fr.jpg,1669.0,1579.0
3041_P1,3041-B4R_BTx406_Rio,1. P1-WOF-Fr.jpg,1753,989,1575,3041-B4R_BTx406_Rio,1. P1-WOF-Fr.jpg,1753.0,1762.0
3041_P2,3041-B4R_BTx406_Rio,5. P2-WOF-Fr.jpg,1705,944,1303,3041-B4R_BTx406_Rio,5. P2-WOF-Fr.jpg,1705.0,1851.0
3041_P3,3041-B4R_BTx406_Rio,9. P3-WOF-Fr.jpg,1408,931,1316,3041-B4R_BTx406_Rio,9. P3-WOF-Fr.jpg,1408.0,1721.0
3041_P4,3041-B4R_BTx406_Rio,13. P4-WOF-Fr.jpg,2162,1038,1483,3041-B4R_BTx406_Rio,13. P4-WOF-Fr.jpg,2162.0,2090.0
3045_P1,3045-SC283,1. P1-WOF-Fr.jpg,633,256,1159,3045-SC283,1. P1-WOF-Fr.jpg,633.0,796.0
3045_P2,3045-SC283,5. P2-WOF-Fr.jpg,1000,662,1233,3045-SC283,5. P2-WOF-Fr.jpg,1000.0,932.0
3045_P3,3045-SC283,9. P3-WOF-Fr.jpg,1010,615,1228,3045-SC283,9. P3-WOF-Fr.jpg,1010.0,922.0
3045_P4,3045-SC283,13. P4-WOF-Fr.jpg,486,264,1254,3045-SC283,13. P4-WOF-Fr.jpg,486.0,870.0
3049_P1,3049-BTx2752,1. P1-WOF-Fr.jpg,2072,2008,2529,3049-BTx2752,1. P1-WOF-Fr.jpg,2072.0,2387.0
3049_P2,3049-BTx2752,5. P2-WOF-Fr.jpg,1743,1917,2636,3049-BTx2752,5. P2-WOF-Fr.jpg,1743.0,1802.0
3049_P3,3049-BTx2752,9. P3-WOF-Fr.jpg,2191,2123,2981,3049-BTx2752,9. P3-WOF-Fr.jpg,2191.0,2420.0
3053_P1,3053-SC964,1. P1-WOF-Fr.jpg,1651,1024,1471,3053-SC964,1. P1-WOF-Fr.jpg,1651.0,1810.0
3053_P2,3053-SC964,5. P2-WOF-Fr.jpg,813,774,1554,3053-SC964,5. P2-WOF-Fr.jpg,813.0,861.0
3053_P3,3053-SC964,9. P3-WOF-Fr.jpg,1808,1316,1774,3053-SC964,9. P3-WOF-Fr.jpg,1808.0,1949.0
3053_P4,3053-SC964,13. P4-WOF-Fr.jpg,1441,1157,1683,3053-SC964,13. P4-WOF-Fr.jpg,1441.0,1865.0
3057_P1,3057-1790E_SC56_SC33,1. P1-WOF-Fr.jpg,494,525,1151,3057-1790E_SC56_SC33,1. P1-WOF-Fr.jpg,494.0,703.0
3057_P2,3057-1790E_SC56_SC33,5. P2-WOF-Fr.jpg,567,458,1246,3057-1790E_SC56_SC33,5. P2-WOF-Fr.jpg,567.0,1097.0
3057_P3,3057-1790E_SC56_SC33,9. P3-WOF-Fr.jpg,714,631,1114,3057-1790E_SC56_SC33,9. P3-WOF-Fr.jpg,714.0,368.0
3057_P4,3057-1790E_SC56_SC33,13. P4-WOF-Fr.jpg,618,494,1075,3057-1790E_SC56_SC33,13. P4-WOF-Fr.jpg,618.0,989.0
3061_P1,3061-RTx2536,1. P1-WOF-Fr.jpg,2725,1483,1183,3061-RTx2536,1. P1-WOF-Fr.jpg,2725.0,2705.0
3061_P2,3061-RTx2536,5. P2-WOF-Fr.jpg,1917,1047,2017,3061-RTx2536,5. P2-WOF-Fr.jpg,1917.0,1910.0
3061_P3,3061-RTx2536,9. P3-WOF-Fr.jpg,1948,1225,1260,3061-RTx2536,9. P3-WOF-Fr.jpg,1948.0,2017.0
3061_P4,3061-RTx2536,13. P4-WOF-Fr.jpg,1909,1089,1348,3061-RTx2536,13. P4-WOF-Fr.jpg,1909.0,1556.0
3065_P1,3065-RTx430,1. P1-WOF-Fr.jpg,699,1006,1524,3065-RTx430,1. P1-WOF-Fr.jpg,699.0,847.0
3065_P2,3065-RTx430,5. P2-WOF-Fr.jpg,1090,805,1711,3065-RTx430,5. P2-WOF-Fr.jpg,1090.0,1312.0
3065_P3,3065-RTx430,9. P3-WOF-Fr.jpg,1033,1565,1694,3065-RTx430,9. P3-WOF-Fr.jpg,1033.0,1492.0
3065_P4,3065-RTx430,13. P4-WOF-Fr.jpg,1650,1368,1617,3065-RTx430,13. P4-WOF-Fr.jpg,1650.0,1628.0
3069_P1,3069-BTx2752,1. P1-WOF-Fr.jpg,2776,1900,2375,3069-BTx2752,1. P1-WOF-Fr.jpg,2776.0,2566.0
3069_P2,3069-BTx2752,5. P2-WOF-Fr.jpg,2991,1822,2600,3069-BTx2752,5. P2-WOF-Fr.jpg,2991.0,2820.0
3069_P3,3069-BTx2752,9. P3-WOF-Fr.jpg,2920,1823,2679,3069-BTx2752,9. P3-WOF-Fr.jpg,2920.0,3048.0
3069_P4,3069-BTx2752,13. P4-WOF-Fr.jpg,2935,1593,2279,3069-BTx2752,13. P4-WOF-Fr.jpg,2935.0,2940.0
3073_P1,3073-BTx615,1. P1-WOF-Fr.jpg,2166,1541,1808,3073-BTx615,1. P1-WOF-Fr.jpg,2166.0,2083.0
3073_P2,3073-BTx615,5. P2-WOF-Fr.jpg,1700,1193,1462,3073-BTx615,5. P2-WOF-Fr.jpg,1700.0,1884.0
3073_P3,3073-BTx615,9. P3-WOF-Fr.jpg,1442,1186,595,3073-BTx615,9. P3-WOF-Fr.jpg,1442.0,1570.0
3073_P4,3073-BTx615,13. P4-WOF-Fr.jpg,2020,1260,1835,3073-BTx615,13. P4-WOF-Fr.jpg,2020.0,2261.0
4005_P1,4005-SN_72_PINK_KAFIR,1. P1-WOF-Fr.jpg,1244,978,1110,4005-SN_72_PINK_KAFIR,1. P1-WOF-Fr.jpg,1244.0,1304.0
4005_P2,4005-SN_72_PINK_KAFIR,5. P2-WOF-Fr.jpg,1418,1244,826,4005-SN_72_PINK_KAFIR,5. P2-WOF-Fr.jpg,1418.0,1489.0
4005_P3,4005-SN_72_PINK_KAFIR,9. P3-WOF-Fr.jpg,1541,908,1208,4005-SN_72_PINK_KAFIR,9. P3-WOF-Fr.jpg,1541.0,1612.0
