plot,id,img_name,Mach_Count,Spr_Count_Adj
5017BTx623_DW1,5017_P2,5. P2-WOF-Fr.jpg,812,872
5017BTx623_DW1,5017_P3,9. P3-WOF-Fr.jpg,1090,1143
5017BTx623_DW1,5017_P4,13. P4-WOF-Fr.jpg,1037,1070
5021-96CD635,5021_P1,1. P1-WOF-Fr.jpg,2043,2164
5021-96CD635,5021_P2,5. P2-WOF-Fr.jpg,1395,1485
5021-96CD635,5021_P3,9. P3-WOF-Fr.jpg,1584,1644
5025-BTx642_Tx7000NILStg1,5025_P1,1. P1-WOF-Fr.jpg,1814,1851
5025-BTx642_Tx7000NILStg1,5025_P2,5. P2-WOF-Fr.jpg,1694,1754
5025-BTx642_Tx7000NILStg1,5025_P3,9. P3-WOF-Fr.jpg,1664,1707
5025-BTx642_Tx7000NILStg1,5025_P4,13. P4-WOF-Fr.jpg,2368,2438
6005-BTx623,6005_P1,1. P1-WOF-Fr.jpg,3765,1676
6005-BTx623,6005_P2,5. P2-WOF-Fr.jpg,2120,2142
6005-BTx623,6005_P3,9. P3-WOF-Fr.jpg,2741,2796
6005-BTx623,6005_P4,13. P4-WOF-Fr.jpg,2451,2527
6009-B10001,6009_P1,1. P1-WOF-Fr.jpg,2445,2544
6009-B10001,6009_P2,5. P2-WOF-Fr.jpg,2241,2359
6009-B10001,6009_P3,9. P3-WOF-Fr.jpg,2822,2976
6009-B10001,6009_P4,13. P4-WOF-Fr.jpg,2041,2087
6013-SC1154-14E,6013_P1,1. P1-WOF-Fr.jpg,1052,1087
6013-SC1154-14E,6013_P2,5. P2-WOF-Fr.jpg,1010,1047
6013-SC1154-14E,6013_P3,9. P3-WOF-Fr.jpg,1356,1398
6013-SC1154-14E,6013_P4,13. P4-WOF-Fr.jpg,1218,1264
6017-P898012,6017_P1,1. P1-WOF-Fr.jpg,1313,1358
6017-P898012,6017_P2,5. P2-WOF-Fr.jpg,1000,1053
6017-P898012,6017_P3,9. P3-WOF-Fr.jpg,1619,1690
6017-P898012,6017_P4,13. P4-WOF-Fr.jpg,1902,1958
6021-B4R_BTx406_RIO,6021_P1,1. P1-WOF-Fr.jpg,1285,1358
6021-B4R_BTx406_RIO,6021_P2,5. P2-WOF-Fr.jpg,1927,2001
6021-B4R_BTx406_RIO,6021_P3,9. P3-WOF-Fr.jpg,1388,1451
6021-B4R_BTx406_RIO,6021_P4,13. P4-WOF-Fr.jpg,1228,1315
6025-2290-19_Stg3NIL,6025_P1,1. P1-WOF-Fr.jpg,1628,1767
6025-2290-19_Stg3NIL,6025_P2,5. P2-WOF-Fr.jpg,1930,2016
6025-2290-19_Stg3NIL,6025_P3,9. P3-WOF-Fr.jpg,2552,2713
6025-2290-19_Stg3NIL,6025_P4,13. P4-WOF-Fr.jpg,1788,1966
7005-SC328,7005_P1,1. P1-WOF-Fr.jpg,1970,2068
7005-SC328,7005_P2,5. P2-WOF-Fr.jpg,2219,2292
7005-SC328,7005_P3,9. P3-WOF-Fr.jpg,1217,1344
7005-SC328,7005_P4,13. P4-WOF-Fr.jpg,1383,1506
7009-1790E_SC56_SC33,7009_P1,1. P1-WOF-Fr.jpg,1048,1160
7009-1790E_SC56_SC33,7009_P2,5. P2-WOF-Fr.jpg,995,1094
7009-1790E_SC56_SC33,7009_P3,9. P3-WOF-Fr.jpg,1588,1670
7009-1790E_SC56_SC33,7009_P4,13. P4-WOF-Fr.jpg,1473,1606
7013-Tx2882,7013_P1,1. P1-WOF-Fr.jpg,1734,1848
7013-Tx2882,7013_P2,5. P2-WOF-Fr.jpg,1339,1479
7013-Tx2882,7013_P3,9. P3-WOF-Fr.jpg,1908,2022
7013-Tx2882,7013_P4,13. P4-WOF-Fr.jpg,1598,1684
7017BTx642,7017_P1,1. P1-WOF-Fr.jpg,901,1003
7017BTx642,7017_P2,5. P2-WOF-Fr.jpg,640,716
