id,plot,img_name,Mach_Count,Pan_Count,Reg_Count
3065_P4,3065-RTx430,13. P4-WOF-Fr.jpg,1650,1368,1617
3069_P1,3069-BTx2752,1. P1-WOF-Fr.jpg,2776,1900,2375
3069_P2,3069-BTx2752,5. P2-WOF-Fr.jpg,2991,1822,2600
3069_P3,3069-BTx2752,9. P3-WOF-Fr.jpg,2920,1823,2679
3069_P4,3069-BTx2752,13. P4-WOF-Fr.jpg,2935,1593,2279
3073_P1,3073-BTx615,1. P1-WOF-Fr.jpg,2166,1541,1808
3073_P2,3073-BTx615,5. P2-WOF-Fr.jpg,1700,1193,1462
3073_P3,3073-BTx615,9. P3-WOF-Fr.jpg,1442,1186,595
3073_P4,3073-BTx615,13. P4-WOF-Fr.jpg,2020,1260,1835
4005_P1,4005-SN_72_PINK_KAFIR,1. P1-WOF-Fr.jpg,1244,978,1110
4005_P2,4005-SN_72_PINK_KAFIR,5. P2-WOF-Fr.jpg,1418,1244,826
4005_P3,4005-SN_72_PINK_KAFIR,9. P3-WOF-Fr.jpg,1541,908,1208
4005_P4,4005-SN_72_PINK_KAFIR,13. P4-WOF-Fr.jpg,1955,1113,1279
4009_P1,4009-BTx615,1. P1-WOF-Fr.jpg,2017,1287,1961
4009_P2,4009-BTx615,5. P2-WOF-Fr.jpg,2056,1335,1794
4009_P3,4009-BTx615,9. P3-WOF-Fr.jpg,2091,1529,1817
4009_P4,4009-BTx615,13. P4-WOF-Fr.jpg,1985,1222,1597
4013_P1,4013-R11018,1. P1-WOF-Fr.jpg,1762,1316,1643
4013_P2,4013-R11018,5. P2-WOF-Fr.jpg,1761,1050,1389
4013_P3,4013-R11018,9. P3-WOF-Fr.jpg,1822,1263,1725
4013_P4,4013-R11018,13. P4-WOF-Fr.jpg,1461,1126,1876
4017_P1,4017-BTx2752,1. P1-WOF-Fr.jpg,2212,1468,1101
4017_P2,4017-BTx2752,5. P2-WOF-Fr.jpg,2288,1232,1688
4017_P3,4017-BTx2752,9. P3-WOF-Fr.jpg,2259,1360,1674
4017_P4,4017-BTx2752,13. P4-WOF-Fr.jpg,3034,1910,1971
4021_P1,4021-6085-9_STG4NIL,1. P1-WOF-Fr.jpg,1899,1473,1687
4021_P2,4021-6085-9_STG4NIL,5. P2-WOF-Fr.jpg,1453,1248,1725
