plot,id,image_name,img_name,Mach_Count,Spr_Count
2005-SC964,2005_P1,2005_1.JPG,1. P1-WOF-Fr.jpg,2400,2449
2005-SC964,2005_P2,2005_2.JPG,5. P2-WOF-Fr.jpg,1436,1611
2005-SC964,2005_P3,2005_3.JPG,9. P3-WOF-Fr.jpg,1815,1917
2005-SC964,2005_P4,2005_4.JPG,13. P4-WOF-Fr.jpg,1704,2046
2009-RTx430BL,2009_P1,2009_1.JPG,1. P1-WOF-Fr.jpg,604,676
2009-RTx430BL,2009_P2,2009_2.JPG,5. P2-WOF-Fr.jpg,869,996
2009-RTx430BL,2009_P3,2009_3.JPG,9. P3-WOF-Fr.jpg,865,934
2009-RTx430BL,2009_P4,2009_4.JPG,13. P4-WOF-Fr.jpg,1189,1468
2013-Tx7000,2013_P1,2013_1.JPG,1. P1-WOF-Fr.jpg,2076,2086
2013-Tx7000,2013_P2,2013_2.JPG,5. P2-WOF-Fr.jpg,2613,2794
2013-Tx7000,2013_P3,2013_3.JPG,9. P3-WOF-Fr.jpg,2274,2456
2013-Tx7000,2013_P4,2013_4.JPG,13. P4-WOF-Fr.jpg,2135,2273
2017-RLBK1,2017_P1,2017_1.JPG,1. P1-WOF-Fr.jpg,311,394
2017-RLBK1,2017_P2,2017_2.JPG,5. P2-WOF-Fr.jpg,641,421
2017-RLBK1,2017_P3,2017_3.JPG,9. P3-WOF-Fr.jpg,973,1126
2017-RLBK1,2017_P4,2017_4.JPG,13. P4-WOF-Fr.jpg,859,966
2021-SC326-6,2021_P1,2021_1.JPG,1. P1-WOF-Fr.jpg,3389,2876
2021-SC326-6,2021_P2,2021_2.JPG,5. P2-WOF-Fr.jpg,3462,3357
2021-SC326-6,2021_P3,2021_3.JPG,9. P3-WOF-Fr.jpg,2640,2917
2021-SC326-6,2021_P4,2021_4.JPG,13. P4-WOF-Fr.jpg,1980,2227
2025-RTx430,2025_P1,2025_1.JPG,1. P1-WOF-Fr.jpg,1197,1419
2025-RTx430,2025_P2,2025_2.JPG,5. P2-WOF-Fr.jpg,1030,1333
2025-RTx430,2025_P3,2025_3.JPG,9. P3-WOF-Fr.jpg,867,1122
2025-RTx430,2025_P4,2025_4.JPG,13. P4-WOF-Fr.jpg,1248,1539
3005-BTx635_DW2,3005_P1,3005_1.JPG,1. P1-WOF-Fr.jpg,1905,2007
3005-BTx635_DW2,3005_P2,3005_2.JPG,5. P2-WOF-Fr.jpg,1710,1809
3005-BTx635_DW2,3005_P3,3005_3.JPG,9. P3-WOF-Fr.jpg,1278,1370
3005-BTx635_DW2,3005_P4,3005_4.JPG,13. P4-WOF-Fr.jpg,1590,1686
3009-M10P0052_BTx623,3009_P1,3009_1.JPG,1. P1-WOF-Fr.jpg,2255,2373
3009-M10P0052_BTx623,3009_P2,3009_2.JPG,5. P2-WOF-Fr.jpg,1282,1465
3009-M10P0052_BTx623,3009_P3,3009_3.JPG,9. P3-WOF-Fr.jpg,2460,2626
3009-M10P0052_BTx623,3009_P4,3009_4.JPG,13. P4-WOF-Fr.jpg,2241,2322
3013-SC56,3013_P1,3013_1.JPG,1. P1-WOF-Fr.jpg,1306,1408
3013-SC56,3013_P2,3013_2.JPG,5. P2-WOF-Fr.jpg,1162,1264
3013-SC56,3013_P3,3013_3.JPG,9. P3-WOF-Fr.jpg,1316,1332
3013-SC56,3013_P4,3013_4.JPG,13. P4-WOF-Fr.jpg,1509,1481
3017-KS19,3017_P1,3017_1.JPG,1. P1-WOF-Fr.jpg,2108,2040
3017-KS19,3017_P2,3017_2.JPG,5. P2-WOF-Fr.jpg,2053,1907
3017-KS19,3017_P3,3017_3.JPG,9. P3-WOF-Fr.jpg,2504,2306
3017-KS19,3017_P4,3017_4.JPG,13. P4-WOF-Fr.jpg,1678,1752
3021-SC328,3021_P1,3021_1.JPG,1. P1-WOF-Fr.jpg,1698,1870
3021-SC328,3021_P2,3021_2.JPG,5. P2-WOF-Fr.jpg,1681,1909
3021-SC328,3021_P3,3021_3.JPG,9. P3-WOF-Fr.jpg,2097,2319
3021-SC328,3021_P4,3021_4.JPG,13. P4-WOF-Fr.jpg,1650,1772
3025-2219-3_Stg2NIL,3025_P1,3025_1.JPG,1. P1-WOF-Fr.jpg,1942,2131
3025-2219-3_Stg2NIL,3025_P2,3025_2.JPG,5. P2-WOF-Fr.jpg,2270,2473
3025-2219-3_Stg2NIL,3025_P3,3025_3.JPG,9. P3-WOF-Fr.jpg,1892,2056
3025-2219-3_Stg2NIL,3025_P4,3025_4.JPG,13. P4-WOF-Fr.jpg,1757,1975
4005-SN_72_PINK_KAFIR,4005_P1,4005_1.JPG,1. P1-WOF-Fr.jpg,1244,1304
4005-SN_72_PINK_KAFIR,4005_P2,4005_2.JPG,5. P2-WOF-Fr.jpg,1418,1489
4005-SN_72_PINK_KAFIR,4005_P3,4005_3.JPG,9. P3-WOF-Fr.jpg,1541,1612
