id,plot,img_name,Mach_Count,Predicted_Spr_Count,Spr_Count_Predicted
3061_P2,3061-RTx2536,5. P2-WOF-Fr.jpg,1917,1971,1910
3061_P3,3061-RTx2536,9. P3-WOF-Fr.jpg,1948,1999,2017
3061_P4,3061-RTx2536,13. P4-WOF-Fr.jpg,1909,1964,1556
3065_P1,3065-RTx430,1. P1-WOF-Fr.jpg,699,892,847
3065_P2,3065-RTx430,5. P2-WOF-Fr.jpg,1090,1239,1312
3065_P3,3065-RTx430,9. P3-WOF-Fr.jpg,1033,1188,1492
3065_P4,3065-RTx430,13. P4-WOF-Fr.jpg,1650,1735,1628
3069_P1,3069-BTx2752,1. P1-WOF-Fr.jpg,2776,2732,2566
3069_P2,3069-BTx2752,5. P2-WOF-Fr.jpg,2991,2923,2820
3069_P3,3069-BTx2752,9. P3-WOF-Fr.jpg,2920,2860,3048
3069_P4,3069-BTx2752,13. P4-WOF-Fr.jpg,2935,2873,2940
3073_P1,3073-BTx615,1. P1-WOF-Fr.jpg,2166,2192,2083
3073_P2,3073-BTx615,5. P2-WOF-Fr.jpg,1700,1779,1884
3073_P3,3073-BTx615,9. P3-WOF-Fr.jpg,1442,1550,1570
3073_P4,3073-BTx615,13. P4-WOF-Fr.jpg,2020,2062,2261
4029_P1,4029-2290-19_Stg3NIL,1. P1-WOF-Fr.jpg,943,1108,964
4029_P2,4029-2290-19_Stg3NIL,5. P2-WOF-Fr.jpg,964,1127,1060
4029_P3,4029-2290-19_Stg3NIL,9. P3-WOF-Fr.jpg,1154,1295,1215
4029_P4,4029-2290-19_Stg3NIL,13. P4-WOF-Fr.jpg,1654,1738,1438
4033_P1,4033-SC56,1. P1-WOF-Fr.jpg,1000,1159,1220
4033_P2,4033-SC56,5. P2-WOF-Fr.jpg,711,903,957
4033_P3,4033-SC56,9. P3-WOF-Fr.jpg,598,803,804
4033_P4,4033-SC56,13. P4-WOF-Fr.jpg,652,851,802
4037_P1,4037-Macia,1. P1-WOF-Fr.jpg,2493,2481,2191
4037_P2,4037-Macia,5. P2-WOF-Fr.jpg,1904,1960,1873
4037_P3,4037-Macia,9. P3-WOF-Fr.jpg,2361,2364,2294
4037_P4,4037-Macia,13. P4-WOF-Fr.jpg,2308,2318,2153
4045_P1,4045-BTx615,1. P1-WOF-Fr.jpg,1495,1597,1564
4045_P2,4045-BTx615,5. P2-WOF-Fr.jpg,1113,1259,1342
4045_P3,4045-BTx615,9. P3-WOF-Fr.jpg,1715,1792,2180
4045_P4,4045-BTx615,13. P4-WOF-Fr.jpg,915,1084,1119
4049_P1,4049-B10001,1. P1-WOF-Fr.jpg,2023,2065,2118
4049_P2,4049-B10001,5. P2-WOF-Fr.jpg,1842,1905,1889
4049_P3,4049-B10001,9. P3-WOF-Fr.jpg,1932,1984,1590
4049_P4,4049-B10001,13. P4-WOF-Fr.jpg,1592,1683,1678
4053_P2,4053-SC35-14E,5. P2-WOF-Fr.jpg,197,448,460
4053_P3,4053-SC35-14E,9. P3-WOF-Fr.jpg,276,518,1023
4053_P4,4053-SC35-14E,13. P4-WOF-Fr.jpg,185,437,397
4057_P1,4057-SC326-6,1. P1-WOF-Fr.jpg,2688,2654,2716
4057_P2,4057-SC326-6,5. P2-WOF-Fr.jpg,2732,2693,2686
4057_P3,4057-SC326-6,9. P3-WOF-Fr.jpg,2409,2407,2167
4057_P4,4057-SC326-6,13. P4-WOF-Fr.jpg,2493,2481,2716
4061_P1,4061-KS19,1. P1-WOF-Fr.jpg,965,1128,1282
4061_P2,4061-KS19,5. P2-WOF-Fr.jpg,1151,1293,1455
4061_P3,4061-KS19,9. P3-WOF-Fr.jpg,1297,1422,1235
4061_P4,4061-KS19,13. P4-WOF-Fr.jpg,995,1154,1443
4065_P1,4065-M10P0052_BTx623,1. P1-WOF-Fr.jpg,1000,1159,871
4065_P2,4065-M10P0052_BTx623,5. P2-WOF-Fr.jpg,1260,1389,1510
4065_P3,4065-M10P0052_BTx623,9. P3-WOF-Fr.jpg,971,1133,1583
4065_P4,4065-M10P0052_BTx623,13. P4-WOF-Fr.jpg,1153,1294,1091
4069_P1,4069-Tx7000,1. P1-WOF-Fr.jpg,1643,1728,1612
4069_P2,4069-Tx7000,5. P2-WOF-Fr.jpg,1976,2023,2044
4069_P3,4069-Tx7000,9. P3-WOF-Fr.jpg,2013,2056,1953
